Run,Step,InCave,InMarket,InTown,Update,CurrentState
53,13,0,1,1,toTown,2
53,14,0,1,1,toTown,2
54,0,0,0,0,toMarket,0
54,1,0,0,0,toMarket,0
54,2,0,0,0,toMarket,1
54,3,0,0,1,toTown,3
54,4,0,0,0,toTown,8
54,5,0,0,0,toMarket,8
54,6,0,1,1,toMarket,8
54,7,0,0,0,toMarket,5
54,8,1,0,0,toCave,6
54,9,1,1,0,toCave,7
54,10,1,0,0,toCave,2
54,11,1,0,0,toCave,2
54,12,1,0,0,toCave,2
54,13,0,0,0,toCave,2
54,14,1,0,0,toCave,2
55,0,0,0,0,toMarket,0
55,1,0,0,0,toMarket,0
55,2,0,1,1,toMarket,1
55,3,0,1,1,toMarket,5
55,4,0,1,1,toCave,6
55,5,0,1,1,toCave,2
55,6,0,1,1,toCave,2
55,7,0,1,1,toCave,2
55,8,0,0,0,toCave,2
55,9,1,1,0,toCave,2
55,10,1,0,0,toCave,2
55,11,1,0,0,toCave,2
55,12,1,0,0,toCave,2
55,13,1,0,0,toCave,2
55,14,1,0,0,toCave,2
56,0,0,0,0,toMarket,0
56,1,0,0,0,toMarket,0
56,2,0,1,1,toMarket,1
56,3,0,1,1,toMarket,5
56,4,1,0,0,toCave,6
56,5,0,0,0,toCave,7
56,6,0,0,1,toTown,7
56,7,1,0,0,toTown,8
56,8,1,0,0,toTown,2
56,9,1,0,0,toTown,2
56,10,1,0,0,toTown,2
56,11,0,0,0,toTown,2
56,12,0,0,0,toTown,2
56,13,0,0,0,toTown,2
56,14,0,0,1,toTown,2
57,0,0,0,0,toMarket,0
57,1,0,0,0,toMarket,0
57,2,0,1,0,toMarket,1
57,3,0,1,0,toMarket,4
57,4,0,0,0,toTown,4
57,5,0,0,0,toTown,4
